[09-09-2025 22:51:15] Se insertó el empleado -> ID: 50 | Nombre: Carlos | Puesto: Dev | Salario: $4000.0 | Edad: 44
[09-09-2025 22:51:33] Se insertó el empleado -> ID: 30 | Nombre: Johan | Puesto: dev | Salario: $2000.0 | Edad: 33
[09-09-2025 22:51:47] Se insertó el empleado -> ID: 70 | Nombre: Pedro | Puesto: Diseño | Salario: $2000.0 | Edad: 22
[09-09-2025 22:52:06] Se insertó el empleado -> ID: 20 | Nombre: Rosa | Puesto: QA | Salario: $2000.0 | Edad: 19
[09-09-2025 22:52:31] Se insertó el empleado -> ID: 40 | Nombre: Ramon | Puesto: diseño | Salario: $3000.0 | Edad: 28
[09-09-2025 22:52:49] Se insertó el empleado -> ID: 60 | Nombre: Sara | Puesto: qa | Salario: $2000.0 | Edad: 26
[09-09-2025 22:53:06] Se insertó el empleado -> ID: 80 | Nombre: Lola | Puesto: Diseño | Salario: $1000.0 | Edad: 39
[09-09-2025 22:53:09] Se realizó recorrido Inorden
[09-09-2025 22:53:37] Se realizó recorrido Preorden
[09-09-2025 22:54:02] Se realizó recorrido Postorden
[09-09-2025 22:54:18] Se encontró el empleado con ID 20
[09-09-2025 22:54:28] Se eliminó el empleado con ID 20
[10-09-2025 19:20:51] Se insertó el empleado -> ID: 1 | Nombre: Empleado1 | Puesto: Gerente | Salario: $42124.320892820266 | Edad: 21
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 2 | Nombre: Empleado2 | Puesto: Desarrollador | Salario: $16654.99002530014 | Edad: 27
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 3 | Nombre: Empleado3 | Puesto: Tester | Salario: $18959.23866207489 | Edad: 31
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 4 | Nombre: Empleado4 | Puesto: Gerente | Salario: $25865.511814113233 | Edad: 49
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 5 | Nombre: Empleado5 | Puesto: Gerente | Salario: $34967.058984199866 | Edad: 44
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 6 | Nombre: Empleado6 | Puesto: Soporte | Salario: $27815.18124251338 | Edad: 38
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 7 | Nombre: Empleado7 | Puesto: Tester | Salario: $14604.573873102287 | Edad: 39
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 8 | Nombre: Empleado8 | Puesto: Analista | Salario: $25756.866786532002 | Edad: 30
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 9 | Nombre: Empleado9 | Puesto: Gerente | Salario: $15770.12242921862 | Edad: 23
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 10 | Nombre: Empleado10 | Puesto: Tester | Salario: $12605.698717725028 | Edad: 41
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 11 | Nombre: Empleado11 | Puesto: Gerente | Salario: $35674.63421949883 | Edad: 51
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 12 | Nombre: Empleado12 | Puesto: Tester | Salario: $44234.07046616055 | Edad: 36
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 13 | Nombre: Empleado13 | Puesto: Desarrollador | Salario: $15905.370777295986 | Edad: 46
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 14 | Nombre: Empleado14 | Puesto: Gerente | Salario: $15399.880543542164 | Edad: 22
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 15 | Nombre: Empleado15 | Puesto: Analista | Salario: $22831.044993902004 | Edad: 46
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 16 | Nombre: Empleado16 | Puesto: Soporte | Salario: $28773.117297750465 | Edad: 38
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 17 | Nombre: Empleado17 | Puesto: Analista | Salario: $12192.303875397607 | Edad: 37
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 18 | Nombre: Empleado18 | Puesto: Tester | Salario: $33346.173172664996 | Edad: 44
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 19 | Nombre: Empleado19 | Puesto: Desarrollador | Salario: $15666.900876766978 | Edad: 40
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 20 | Nombre: Empleado20 | Puesto: Tester | Salario: $10583.610977341667 | Edad: 39
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 21 | Nombre: Empleado21 | Puesto: Gerente | Salario: $12394.158471969324 | Edad: 46
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 22 | Nombre: Empleado22 | Puesto: Tester | Salario: $44987.402519498486 | Edad: 42
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 23 | Nombre: Empleado23 | Puesto: Tester | Salario: $49888.6591159396 | Edad: 47
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 24 | Nombre: Empleado24 | Puesto: Analista | Salario: $10323.980626543645 | Edad: 40
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 25 | Nombre: Empleado25 | Puesto: Analista | Salario: $36468.41031906293 | Edad: 48
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 26 | Nombre: Empleado26 | Puesto: Soporte | Salario: $13579.751512137884 | Edad: 28
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 27 | Nombre: Empleado27 | Puesto: Analista | Salario: $41268.04473745859 | Edad: 23
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 28 | Nombre: Empleado28 | Puesto: Desarrollador | Salario: $45782.034257747226 | Edad: 50
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 29 | Nombre: Empleado29 | Puesto: Soporte | Salario: $28102.90977714285 | Edad: 34
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 30 | Nombre: Empleado30 | Puesto: Analista | Salario: $12142.69627635134 | Edad: 21
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 31 | Nombre: Empleado31 | Puesto: Gerente | Salario: $35895.241762158475 | Edad: 43
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 32 | Nombre: Empleado32 | Puesto: Tester | Salario: $13552.08628918831 | Edad: 56
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 33 | Nombre: Empleado33 | Puesto: Gerente | Salario: $21068.91841513986 | Edad: 51
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 34 | Nombre: Empleado34 | Puesto: Soporte | Salario: $27271.143745451118 | Edad: 58
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 35 | Nombre: Empleado35 | Puesto: Gerente | Salario: $16264.58613910422 | Edad: 51
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 36 | Nombre: Empleado36 | Puesto: Gerente | Salario: $26739.92283988654 | Edad: 55
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 37 | Nombre: Empleado37 | Puesto: Desarrollador | Salario: $14922.290405471998 | Edad: 26
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 38 | Nombre: Empleado38 | Puesto: Gerente | Salario: $48741.032712442975 | Edad: 50
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 39 | Nombre: Empleado39 | Puesto: Tester | Salario: $22724.03943682376 | Edad: 54
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 40 | Nombre: Empleado40 | Puesto: Soporte | Salario: $40726.849610007324 | Edad: 35
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 41 | Nombre: Empleado41 | Puesto: Gerente | Salario: $24584.04266276404 | Edad: 29
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 42 | Nombre: Empleado42 | Puesto: Analista | Salario: $21939.639628229168 | Edad: 32
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 43 | Nombre: Empleado43 | Puesto: Tester | Salario: $39819.68016301861 | Edad: 58
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 44 | Nombre: Empleado44 | Puesto: Gerente | Salario: $49024.06610911417 | Edad: 38
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 45 | Nombre: Empleado45 | Puesto: Tester | Salario: $18331.57689749517 | Edad: 41
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 46 | Nombre: Empleado46 | Puesto: Analista | Salario: $10151.840135395296 | Edad: 29
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 47 | Nombre: Empleado47 | Puesto: Soporte | Salario: $27066.459865233504 | Edad: 30
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 48 | Nombre: Empleado48 | Puesto: Desarrollador | Salario: $21248.626237044227 | Edad: 59
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 49 | Nombre: Empleado49 | Puesto: Tester | Salario: $28731.790678772268 | Edad: 58
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 50 | Nombre: Empleado50 | Puesto: Gerente | Salario: $43733.578072169264 | Edad: 38
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 51 | Nombre: Empleado51 | Puesto: Gerente | Salario: $43676.48561909289 | Edad: 46
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 52 | Nombre: Empleado52 | Puesto: Desarrollador | Salario: $45252.23345022228 | Edad: 33
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 53 | Nombre: Empleado53 | Puesto: Gerente | Salario: $11047.336207109902 | Edad: 44
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 54 | Nombre: Empleado54 | Puesto: Desarrollador | Salario: $23203.792042012985 | Edad: 34
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 55 | Nombre: Empleado55 | Puesto: Soporte | Salario: $26776.06741391185 | Edad: 35
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 56 | Nombre: Empleado56 | Puesto: Desarrollador | Salario: $25434.10935849719 | Edad: 35
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 57 | Nombre: Empleado57 | Puesto: Desarrollador | Salario: $33647.272534087984 | Edad: 44
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 58 | Nombre: Empleado58 | Puesto: Gerente | Salario: $13286.052773551224 | Edad: 38
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 59 | Nombre: Empleado59 | Puesto: Tester | Salario: $32642.785187755017 | Edad: 42
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 60 | Nombre: Empleado60 | Puesto: Analista | Salario: $19269.202760779306 | Edad: 53
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 61 | Nombre: Empleado61 | Puesto: Tester | Salario: $34953.35890290898 | Edad: 27
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 62 | Nombre: Empleado62 | Puesto: Analista | Salario: $34931.14676316008 | Edad: 41
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 63 | Nombre: Empleado63 | Puesto: Gerente | Salario: $40493.82862488909 | Edad: 28
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 64 | Nombre: Empleado64 | Puesto: Analista | Salario: $24082.9776665393 | Edad: 29
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 65 | Nombre: Empleado65 | Puesto: Analista | Salario: $31453.253126142183 | Edad: 53
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 66 | Nombre: Empleado66 | Puesto: Analista | Salario: $32351.88118061502 | Edad: 28
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 67 | Nombre: Empleado67 | Puesto: Tester | Salario: $28356.852248750234 | Edad: 58
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 68 | Nombre: Empleado68 | Puesto: Gerente | Salario: $36104.03270830927 | Edad: 25
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 69 | Nombre: Empleado69 | Puesto: Gerente | Salario: $31311.84032293518 | Edad: 28
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 70 | Nombre: Empleado70 | Puesto: Analista | Salario: $22101.33211907585 | Edad: 56
[10-09-2025 19:20:52] Se insertó el empleado -> ID: 71 | Nombre: Empleado71 | Puesto: Tester | Salario: $40554.60458581337 | Edad: 34
